T	P	Punit	MBAR	Al	Al_wt	Scd1_idx	Scd1	Scd2_idx	Scd2	Scd1_wt	Kappa	Kappa_wt	n_ic
323.15	1	atm	FALSE	0.631	1	C15		C34		1	58	1	10
						C17	0.198144	C36	0.198144				
						C18	0.198128	C37	0.198128				
						C19	0.198111	C38	0.198111				
						C20	0.198095	C39	0.198095				
						C21	0.198079	C40	0.198079				
						C22	0.197799	C41	0.197537				
						C23	0.198045	C42	0.198046				
						C24	0.178844	C43	0.178844				
						C25	0.167527	C44	0.178565				
						C26	0.148851	C45	0.16751				
						C27	0.134117	C46	0.148834				
						C28	0.119646	C47	0.1341				
						C29	0.100969	C48	0.110956				
						C30	0.07546	C49	0.087549				
						C31		C50					
333.15	1	atm	FALSE	0.65	1	C15		C34		0	58	0	10
						C17	0.181121	C36	0.181121				
						C18	0.180807	C37	0.180807				
						C19	0.181055	C38	0.181055				
						C20	0.180741	C39	0.180741				
						C21	0.180989	C40	0.180989				
						C22	0.168579	C41	0.168579				
						C23	0.169109	C42	0.169109				
						C24	0.149104	C43	0.149104				
						C25	0.138945	C44	0.138945				
						C26	0.123439	C45	0.138629				
						C27	0.112717	C46	0.123968				
						C28	0.098056	C47	0.112121				
						C29	0.083396	C48	0.089303				
						C30	0.062266	C49	0.070424				
						C31		C50					
338.15	1	atm	FALSE	0.671	1	C15		C34		1	58	0	10
						C17	0.181121	C36	0.181121				
						C18	0.180807	C37	0.180807				
						C19	0.181055	C38	0.181055				
						C20	0.180741	C39	0.180741				
						C21	0.180989	C40	0.180989				
						C22	0.168579	C41	0.168579				
						C23	0.169109	C42	0.169109				
						C24	0.149104	C43	0.149104				
						C25	0.138945	C44	0.138945				
						C26	0.123439	C45	0.138629				
						C27	0.112717	C46	0.123968				
						C28	0.098056	C47	0.112121				
						C29	0.083396	C48	0.089303				
						C30	0.062266	C49	0.070424				
						C31		C50					
353.15	1	atm	FALSE	0.719	1	C15		C34		1	58	0	10
						C17	0.162535	C36	0.162535				
						C18	0.162817	C37	0.162817				
						C19	0.162535	C38	0.162535				
						C20	0.162535	C39	0.162535				
						C21	0.162817	C40	0.162817				
						C22	0.151268	C41	0.151268				
						C23	0.142254	C42	0.142254				
						C24	0.127606	C43	0.127606				
						C25	0.117465	C44	0.117465				
						C26	0.101972	C45	0.117183				
						C27	0.092676	C46	0.102535				
						C28	0.081408	C47	0.092676				
						C29	0.068732	C48	0.073239				
						C30	0.051267	C49	0.056901				
						C31		C50					
