#omega	chi1	phi1	E (kcal/mol)
0	0	120	15.54579878
0	0	180	17.65583042
0	0	210	16.37892867
0	0	240	13.06640844
0	0	270	10.1738988
0	0	300	12.48431164
0	0	330	19.61746246
0	15	120	13.92476105
0	15	150	12.64612048
0	15	180	14.69287286
0	15	210	15.33420023
0	15	240	11.46150083
0	15	270	7.898175286
0	30	120	10.46636631
0	30	150	9.223230193
0	30	180	11.74933105
0	30	210	13.92523294
0	45	150	9.004092755
0	60	60	5.809323327
0	60	180	9.345875572
0	60	210	8.432903943
0	60	240	6.410888595
0	60	270	4.731961283
0	60	300	6.070486298
0	75	60	5.138326699
0	75	120	3.402561503
0	75	180	8.097174078
0	75	210	9.581460649
0	75	240	6.917495436
0	75	270	4.611392331
0	75	300	6.483164454
0	90	30	11.327645
0	90	60	4.902954348
0	90	90	1.846019154
0	90	150	8.060632974
0	90	180	7.117762423
0	90	210	10.03684707
0	90	270	4.764956334
0	90	300	6.397498181
0	105	30	12.43875323
0	105	60	5.565218561
0	105	90	2.566942281
0	105	120	5.434529772
0	105	150	9.239827179
0	105	180	8.160868124
0	105	210	11.68534208
0	105	240	8.656649807
0	105	270	5.74833259
0	105	300	6.975751489
0	120	60	6.561240379
0	120	90	3.803780718
0	120	120	6.977462079
0	120	150	10.38028149
0	120	180	10.45746949
0	120	210	13.58925898
0	120	240	10.35559152
0	120	270	6.53901401
0	120	300	7.520403573
0	120	330	13.31006453
0	135	60	7.399311907
0	135	90	5.02022825
0	135	120	7.915816447
0	135	150	11.82664455
0	135	180	13.34931334
0	135	210	15.68204793
0	135	240	11.82415146
0	135	270	7.285820001
0	135	300	8.538107082
0	135	330	15.05834665
0	150	0	17.32731001
0	150	60	8.563188617
0	150	90	6.139861183
0	150	120	8.665534707
0	150	150	14.17949206
0	150	180	17.02171062
0	150	210	18.00048284
0	150	240	12.90391561
0	150	270	7.950041415
0	150	300	9.720443225
0	150	360	17.32731001
0	165	60	9.428426264
0	165	90	6.348051099
0	165	120	8.763938786
0	165	150	15.67006878
0	165	180	20.83822475
0	165	210	19.84031977
0	165	240	13.06308201
0	165	270	6.844742043
0	165	300	8.753808281
0	180	0	15.24895753
0	180	30	13.87119061
0	180	60	7.575774967
0	180	90	4.92941954
0	180	120	7.691343928
0	180	150	15.02117867
0	180	180	17.12039958
0	180	210	17.48592734
0	180	240	8.953788496
0	180	270	3.64579466
0	180	300	6.233186831
0	180	330	13.86668133
0	180	360	15.24895753
0	195	0	11.73951618
0	195	30	10.96897278
0	195	60	4.409070879
0	195	90	2.479535925
0	195	120	6.510440388
0	195	150	13.31986936
0	195	180	13.33141176
0	195	210	11.44866011
0	195	240	4.624078053
0	195	270	1.63536501
0	195	300	3.607738121
0	195	330	10.15128651
0	195	360	11.73951618
0	210	0	9.582722569
0	210	30	8.994358836
0	210	60	2.297759745
0	210	90	1.238970712
0	210	120	6.060181345
0	210	150	11.62787543
0	210	180	9.792574757
0	210	210	7.350505512
0	210	240	3.027904745
0	210	270	0.680254269
0	210	300	2.008281059
0	210	330	7.984805414
0	210	360	9.582722569
0	225	0	8.735362026
0	225	30	7.857101685
0	225	60	1.554398151
0	225	90	0.997957056
0	225	120	6.206157509
0	225	150	11.31100409
0	225	180	7.815059209
0	225	210	6.400156936
0	225	240	3.340359046
0	225	270	0.380650724
0	225	300	1.235989417
0	225	330	7.221664109
0	225	360	8.735362026
0	240	0	7.771302379
0	240	30	7.452153812
0	240	60	1.75685891
0	240	90	1.477641878
0	240	120	6.268213756
0	240	150	4.231925089
0	240	180	7.761241527
0	240	210	7.203490193
0	240	240	4.047185184
0	240	270	0
0	240	300	1.24194134
0	240	330	7.375748316
0	240	360	7.771282927
0	255	0	8.954162492
0	255	30	7.993098573
0	255	60	2.833001077
0	255	90	2.38521944
0	255	120	6.735817148
0	255	150	10.44661672
0	255	180	8.783632529
0	255	210	8.069187804
0	255	240	4.228689652
0	255	270	0.016625223
0	255	300	2.052773329
0	255	330	8.025159263
0	255	360	8.954162492
0	270	0	9.773364824
0	270	30	9.481948389
0	270	60	4.370617755
0	270	90	3.954857275
0	270	120	7.760616529
0	270	150	11.62369873
0	270	180	11.00957512
0	270	210	9.46057104
0	270	240	4.647693727
0	270	270	1.059689508
0	270	300	3.645777089
0	270	330	9.083994104
0	270	360	9.773364824
0	285	30	9.861848613
0	285	60	5.142713614
0	285	90	5.220810247
0	285	120	7.986534829
0	285	150	11.09347935
0	285	180	14.15922791
0	285	210	11.04451859
0	285	240	5.645246666
0	285	270	2.856520742
0	285	300	5.202790698
0	285	330	10.77230393
0	300	0	13.21772031
0	300	90	5.282361349
0	300	120	7.603797009
0	300	150	12.29218156
0	300	180	16.91100171
0	300	210	12.90853282
0	300	240	7.161534941
0	300	270	4.458893839
0	300	300	7.262588363
0	300	330	13.12089881
0	300	360	13.21772031
0	315	60	8.139266127
0	315	120	9.884531808
0	315	150	16.98006222
0	315	180	19.26994798
0	315	210	14.79172184
0	315	240	8.837339769
0	315	270	7.065824131
0	330	0	19.42345362
