 2.959999300000e-01  8.786943400000e-01 ; PARM 0 1
 2.959999300000e-01  8.786943400000e-01 ; PARM 0 1
 3.249966700000e-01  7.113774400000e-01 ; PARM 0 1
 3.749857000000e-01  4.395243600000e-01 ; PARM 0 1
 3.800152100000e-01  3.346161700000e-01 ; PARM 0 1
 3.905042500000e-01  4.936367700000e-01 ; PARM 0 1
 3.740042000000e-01  8.367132000000e-01 ; PARM 0 1
 2.999885700000e-01  8.791446700000e-01 ; PARM 0 1
 3.959944000000e-01  3.808374800000e-01 ; PARM 0 1
 3.960063000000e-01  5.689492500000e-01 ; PARM 0 1
 3.960120200000e-01  6.064938300000e-01 ; PARM 0 1
 3.799786300000e-01  4.939498500000e-01 ; PARM 0 1













