 2.959348587976e-01  8.786929588316e-01 ; PARM 0 1
 2.959296838849e-01  8.786930538675e-01 ; PARM 0 1
 3.249976332502e-01  7.113775233597e-01 ; PARM 0 1
 3.749869538294e-01  4.395246004956e-01 ; PARM 0 1
 3.800092822179e-01  3.346155944063e-01 ; PARM 0 1
 3.905013446862e-01  4.936367251029e-01 ; PARM 0 1
 3.739984320246e-01  8.367132335678e-01 ; PARM 0 1
 3.000142960120e-01  8.791453568057e-01 ; PARM 0 1
 3.959922851129e-01  3.808378142772e-01 ; PARM 0 1
 3.960065546956e-01  5.689492817929e-01 ; PARM 0 1
 3.960053810874e-01  6.064939273920e-01 ; PARM 0 1
 3.799692165654e-01  4.939495292247e-01 ; PARM 0 1













